study,N,h,steps,dt,T,L2_ux,L2_uy,L2_uz,L2_p,rate_ux,rate_uy,rate_uz,rate_p
spatial,32,0.099733100113961692,10,1e-4,1e-3,1.24500987060381608e-04,1.23934044097630031e-04,2.40631378903764884e-04,5.87483470604469593e-02,nan,nan,nan,nan
spatial,64,0.049473900056532176,10,1e-4,1e-3,5.89464758099974350e-05,5.87987202769830311e-05,1.28983263023736141e-04,1.91873530038271754e-02,1.06652,1.06359,0.889496,1.59619
spatial,128,0.024639942381096416,10,1e-4,1e-3,1.85596425488241045e-05,1.85237008976280109e-05,4.23464173926954975e-05,4.41856255449048479e-03,1.65784,1.65702,1.59781,2.10657
spatial,256,0.012295861657885687,10,1e-4,1e-3,4.81675963406630499e-06,4.81137785448738840e-06,1.11286671431806185e-05,1.07004400052927912e-03,1.94055,1.93937,1.92253,2.04014
temporal,256,0.012295861657885687,20,0.05,1.0,4.22102394316776694e-02,4.91833647150938386e-02,4.23142065414658097e-02,6.51009848924455792e-01,nan,nan,nan,nan
temporal,256,0.012295861657885687,40,0.025,1.0,1.10304416358433417e-02,1.25446177299980057e-02,1.10647876727157889e-02,1.85722633160759570e-01,1.9361,1.9711,1.93517,1.80953
temporal,256,0.012295861657885687,80,0.0125,1.0,2.79602045088141182e-03,3.12164588220471785e-03,2.81629741435397403e-03,5.12215787218685131e-02,1.98004,2.00669,1.9741,1.85833
temporal,256,0.012295861657885687,160,0.00625,1.0,7.18530136838215015e-04,8.07800910781678494e-04,7.37367191286945542e-04,1.62322546252057741e-02,1.96025,1.95024,1.93334,1.65789
