study,N,h,steps,dt,T,L2_ux,L2_uy,L2_uz,L2_p,rate_ux,rate_uy,rate_uz,rate_p
spatial,32,0.099733100113961692,10,1e-4,1e-3,1.2450098706e-04,1.2393404410e-04,2.4063137890e-04,5.8748347060e-02,nan,nan,nan,nan
spatial,64,0.049473900056532176,10,1e-4,1e-3,5.8946475810e-05,5.8798720277e-05,1.2898326302e-04,1.9187353004e-02,1.06652,1.06359,0.889496,1.59619
spatial,128,0.024639942381096416,10,1e-4,1e-3,1.8559642549e-05,1.8523700898e-05,4.2346417393e-05,4.4185625545e-03,1.65784,1.65702,1.59781,2.10657
temporal,128,0.024639942381096416,20,0.05,1.0,4.2294860647e-02,4.9151273802e-02,4.2451793845e-02,6.5640168755e-01,nan,nan,nan,nan
temporal,128,0.024639942381096416,40,0.025,1.0,1.1104115043e-02,1.2604338917e-02,1.1185863085e-02,1.8999159736e-01,1.92939,1.96331,1.92415,1.78864
temporal,128,0.024639942381096416,80,0.0125,1.0,2.8690537176e-03,3.2447556368e-03,2.9422192489e-03,5.7001350197e-02,1.95245,1.95774,1.9267,1.73687
temporal,128,0.024639942381096416,160,0.00625,1.0,8.0637079789e-04,1.0090608485e-03,9.0505620032e-04,2.5335634710e-02,1.83106,1.6851,1.70083,1.16983
